Response ID,Status,What is your gender?,What is your current age?,Where do you live?,"In your opinion, which sport is Australia’s national sport?","Other (please specify):In your opinion, which sport is Australia’s national sport?",Which of the following best describes your current relationship status?*,Which best describes your current work status?,What is the highest level of education you have achieved so far?
200,Complete,Female,18-24 years,NSW,Cricket,,De facto / Lives with partner,Not currently employed,TAFE qualification
201,Complete,Male,65+ years,ACT,Soccer,,Single,Retired,Undergraduate or Bachelor Degree
202,Complete,Male,18-24 years,SA,Rugby League (NRL),,Single,Not currently employed,Year/Grade 12 or equivalent
203,Complete,Female,65+ years,ACT,Rugby League (NRL),,Widowed,Retired,Undergraduate or Bachelor Degree
204,Complete,Female,35-44 years,TAS,Cricket,,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
205,Complete,Male,45-54 years,NT,Soccer,,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
206,Complete,Female,18-24 years,NSW,Cricket,,In a relationship,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
207,Complete,Male,25-34 years,ACT,Rugby Union,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
208,Complete,Female,35-44 years,QLD,Other (please specify),No sport is good ,Married,Homemaker,Year/Grade 12 or equivalent
209,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,TAFE qualification
210,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,TAFE qualification
211,Complete,Female,45-54 years,WA,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
212,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
213,Complete,Female,18-24 years,VIC,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
214,Complete,Male,65+ years,SA,Australian Rules Football (AFL),,Widowed,Retired,Year/Grade 12 or equivalent
215,Complete,Female,35-44 years,QLD,Netball,,In a relationship,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
216,Complete,Female,65+ years,WA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
217,Complete,Male,55-64 years,SA,Cricket,,Single,Retired,Year/Grade 12 or equivalent
218,Complete,Male,35-44 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Post Graduate Degree - Master's
219,Complete,Male,45-54 years,NSW,Rugby Union,,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
220,Complete,Male,45-54 years,VIC,Tennis,,Engaged,Homemaker,Year/Grade 12 or equivalent
221,Complete,Male,55-64 years,SA,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
222,Complete,Male,65+ years,NSW,Cricket,,Married,Retired,TAFE qualification
223,Complete,Female,65+ years,SA,Australian Rules Football (AFL),,Married,Retired,Diploma and advanced Diploma
224,Complete,Male,65+ years,QLD,Cricket,,Married,"An employee on wages, salary or commission",TAFE qualification
225,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",TAFE qualification
226,Complete,Female,65+ years,VIC,Australian Rules Football (AFL),,Married,Retired,Undergraduate or Bachelor Degree
227,Complete,Female,25-34 years,SA,Rugby Union,,Engaged,Not currently employed,Year/Grade 12 or equivalent
228,Complete,Female,65+ years,SA,Other (please specify),"that would depend on where people live as we have numerous choices. AFL, Rugby, swimming, basketball, tennis, soccer would be tops. But then some people would add car racing and I think more people play netball than many other sports.",Married,Retired,Undergraduate or Bachelor Degree
229,Complete,Female,25-34 years,QLD,Rugby League (NRL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
230,Complete,Female,45-54 years,NSW,Surfing,,Single,"An employee on wages, salary or commission",Diploma and advanced Diploma
231,Complete,Male,35-44 years,NSW,Rugby League (NRL),,Single,"An employee on wages, salary or commission",Year/Grade 10 (or equivalent) or lower
232,Complete,Female,65+ years,NSW,Cricket,,Widowed,Retired,Year/Grade 10 (or equivalent) or lower
233,Complete,Female,45-54 years,WA,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
234,Complete,Female,55-64 years,SA,Australian Rules Football (AFL),,De facto / Lives with partner,Retired,Year/Grade 12 or equivalent
235,Complete,Female,25-34 years,VIC,Australian Rules Football (AFL),,Married,Homemaker,Undergraduate or Bachelor Degree
236,Complete,Female,45-54 years,VIC,Australian Rules Football (AFL),,De facto / Lives with partner,Homemaker,Year/Grade 12 or equivalent
237,Complete,Female,65+ years,NSW,Rugby League (NRL),,Divorced,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
238,Complete,Female,55-64 years,NSW,Tennis,,Married,Homemaker,Year/Grade 10 (or equivalent) or lower
239,Complete,Male,25-34 years,VIC,Cricket,,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
240,Complete,Male,55-64 years,VIC,Australian Rules Football (AFL),,Divorced,Retired,Graduate Diploma/ Graduate Certificate
241,Complete,Female,55-64 years,NSW,Australian Rules Football (AFL),,Married,"An employee on wages, salary or commission",Undergraduate or Bachelor Degree
242,Complete,Female,65+ years,WA,Australian Rules Football (AFL),,Married,Retired,Year/Grade 12 or equivalent
243,Complete,Female,45-54 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",TAFE qualification
244,Complete,Male,35-44 years,QLD,Rugby League (NRL),,Single,Not currently employed,Year/Grade 12 or equivalent
245,Complete,Female,55-64 years,QLD,Australian Rules Football (AFL),,Single,"An employee on wages, salary or commission",Year/Grade 12 or equivalent
